brsp,gtto,lasp,sags,sath,vesp,x,y
3,1,0,20,0,75,-110.84452,49.93222
0,1,0,0,12,165,-112.39699,49.08995
1,0,0,5,0,89,-110.25869,50.74668
0,0,1,0,0,254,-111.84916,50.56388
0,0,0,2,0,32,-113.02852,50.60147
0,0,2,3,3,256,-111.07823,51.32875
0,12,0,1,2,78,-114.45039,51.83143
0,8,0,0,18,36,-110.65127,52.46309
0,1,2,15,0,303,-114.47782,52.02799
33,0,0,0,0,90,-110.69079,49.26127
4,2,0,0,0,120,-112.1495,49.61134
53,17,0,4,0,184,-110.07319,50.00432
2,5,5,1,1,352,-112.13115,51.95441
1,61,0,2,0,100,-110.27546,49.53812
0,53,2,2,1,18,-113.65683,49.26174
1,17,2,20,10,81,-110.96022,50.22206
0,4,0,3,4,0,-112.31428,50.16448
1,16,1,0,0,485,-113.7321,51.4154
7,8,1,1,0,394,-117.34166,52.98463
1,6,1,26,0,268,-119.0514,55.46148
2,0,4,0,15,49,-110.68143,49.52351
1,84,0,27,2,13,-113.78431,49.74948
0,0,1,26,0,2,-111.86568,50.93578
0,2,0,3,0,44,-113.39054,50.01932
1,223,1,0,9,166,-111.47615,51.41613
1,37,0,5,1,203,-112.04431,51.32885
0,12,0,18,0,32,-113.22096,52.72674
1,75,0,94,715,19,-110.68174,49.86216
1,0,0,12,48,14,-113.908,49.98083
0,0,2,0,13,28,-112.17449,50.92147
1,7,0,5,1,1,-110.60929,50.70277
0,510,1,8,1,2,-111.56814,50.08913
0,1,1,1,297,33,-110.56255,49.10149
0,2,2,0,1,170,-110.56255,49.10149
0,0,0,5,174,6,-110.56255,49.10149
10,83,3,1,0,40,-113.3253169,36.4118157
16,0,2,0,96,9,-112.0460509,36.7313947
0,2,0,0,7,0,-111.3865819,36.1623537
6,0,0,5,0,1,-110.5019459,36.5612867
0,0,40,0,0,2,-109.4726859,36.5089267
0,4,68,0,101,8,-109.2046208,35.678979
0,253,0,66,2,0,-110.3031159,32.0343407
0,6,0,1,7,44,-109.6948089,31.8181957
1,6,0,0,29,14,-113.0649869,36.2863797
0,7,0,13,7,72,-111.4526999,36.9132282
1,0,89,0,0,3,-113.8087941,35.4272901
0,15,44,14,0,65,-113.5975476,34.2318174
0,0,1,0,4,15,-109.9154509,34.1153987
21,0,2,7,0,180,-113.4587859,36.6901017
11,1,0,136,1,8,-110.3781682,34.6116178
0,0,2,2,593,25,-115.87449,50.23927
1,0,85,163,602,50,-116.98707,51.32189
1,0,0,8,33,0,-124.83168,54.08715
2,2,8,0,0,228,-118.47504,49.04169
0,2,27,0,2,131,-119.72963,49.59762
0,15,0,4,0,100,-120.61948,50.22497
2,47,0,1,0,157,-121.82873,50.88093
1,0,0,6,0,129,-122.34963,52.12432
2,29,0,0,1,126,-136.59568,59.78907
0,9,26,5,169,76,-119.27952,49.10741
11,50,0,3,0,361,-119.5261,49.25746
0,0,1,11,0,223,-121.2571315,41.1014068
25,3,12,7,34,67,-120.6982799,40.5758997
0,0,9,177,0,98,-120.7596199,39.1239687
0,3,68,96,7,38,-119.8362579,38.3432387
198,0,0,1,0,30,-118.0220022,37.1720925
5,0,6,0,271,9,-117.5737919,36.7126677
11,0,0,15,37,5,-117.8859479,36.1558717
0,6,0,1,0,1,-117.2138369,36.5381747
12,9,32,170,1,40,-118.0780029,35.7335697
0,0,4,0,0,57,-117.9172289,35.0877907
2,3,7,56,10,221,-115.7029053,35.473722
22,1,1,0,1,95,-118.5635609,34.8404587
4,0,295,0,229,4,-119.3320309,34.8339497
0,171,42,0,0,6,-118.8985706,36.0801334
4,0,0,0,88,24,-117.6717296,36.3180973
2,0,13,12,0,4,-117.7611699,37.2267497
4,0,0,8,84,36,-115.4289179,35.5408027
1,7,1,0,27,1,-116.1930811,35.8040435
71,0,5,0,51,1,-116.8289569,34.3333857
161,23,0,33,0,3,-120.7128219,41.6796987
1011,4,0,42,0,298,-120.3646258,40.7999549
5,0,0,4,1,117,-119.8237379,38.7754607
116,14,4,0,31,121,-118.5296169,37.8002217
49,0,4,5,83,31,-119.1943049,38.1752167
0,1,1,3,248,32,-116.7862853,33.1990869
2,0,15,192,0,32,-116.6706725,33.6681143
15,25,34,0,0,86,-115.4116059,35.1743817
1,0,5,9,0,43,-117.69055,34.3863889
28,0,76,0,0,76,-118.0989909,36.5074727
5,0,2,1,58,447,-118.6547779,36.4664267
178,0,0,0,43,348,-119.0450209,34.7383427
0,0,10,0,149,25,-117.3928679,33.2380367
0,108,1,8,20,97,-116.8511739,36.4373087
13,296,25,0,22,38,-118.2071003,35.5494581
0,165,4,2,0,8,-117.0639579,34.2452557
4,0,0,0,1,1,-116.1626236,34.0138414
3,2,1,4,0,24,-119.5569949,34.8187907
65,172,1,3,9,26,-116.5004177,36.0509851
14,19,6,0,4,24,-120.3368295,41.2351468
329,30,1,0,0,6,-118.6550657,37.6375765
439,1,3,2,0,8,-120.4258218,39.6153759
97,0,0,1,70,2,-120.1080006,40.4932903
1,215,0,0,0,0,-120.3753129,41.7332787
43,54,0,0,150,13,-121.8916067,41.9998861
40,21,0,12,0,9,-122.0111142,41.8224004
7,10,1,0,0,7,-119.2218859,38.2592757
0,18,0,0,130,0,-122.0499734,41.4000979
558,43,7,0,269,5,-121.0692617,41.8190067
45,0,7,53,0,12,-120.1718519,41.5295757
41,317,15,2,185,65,-118.0043109,37.4158007
0,317,3,117,538,148,-121.8238479,41.2528113
0,10,0,1,3,182,-121.5700369,40.8188497
129,28,0,2,12,32,-121.2574609,41.6708967
10,365,3,1,135,120,-120.5011538,41.8699632
21,0,20,1,0,148,-120.4745547,41.0534621
0,82,11,17,0,54,-121.5788419,40.9620837
1,31,5,0,0,8,-120.8358171,40.4392679
94,0,3,2,1,549,-120.1772919,39.5112797
16,180,1,0,27,144,-118.1213609,36.0105997
11,1,0,0,4,206,-119.0168752,37.77678
14,5,1,19,0,75,-120.139403,39.7978141
31,3,0,0,220,23,-120.5453404,40.1541637
0,12,5,148,103,34,-115.9269019,33.9250177
470,0,9,0,320,0,-108.0883263,40.7402199
626,0,1,0,32,2,-107.6901017,40.8403233
140,97,3,132,6,51,-106.874918,40.1531859
0,61,0,0,0,23,-105.0392299,40.5090827
44,0,0,0,133,25,-104.2027819,40.5963537
31,0,0,1,0,18,-103.440258,40.2096396
13,103,1,15,2,0,-108.8123629,39.4003427
1,31,1,3,20,5,-107.6483229,39.9658907
7,30,0,0,2,23,-104.3691567,39.3798417
3,175,0,0,0,55,-103.6493769,39.8568857
59,366,0,6,22,48,-102.6325909,39.8307687
13,222,3,4,19,0,-108.1390507,38.694789
0,114,8,5,0,100,-107.9633117,38.3057846
13,23,0,4,205,40,-106.7550729,38.5137277
208,95,0,9,228,18,-105.8127155,38.025678
4,0,0,0,438,7,-104.0920409,38.8398807
2,110,0,0,445,7,-103.2279359,38.6410567
0,5,15,255,540,0,-108.5355759,37.5181967
32,0,1,2,0,2,-107.7918089,37.2149507
3,1,2,0,1,4,-105.5524979,37.2873497
0,16,5,0,0,19,-104.3145749,37.6204777
1,115,0,16,0,16,-102.2921829,37.6879837
777,21,26,0,1,58,-108.4153871,40.0653006
22,0,0,0,0,12,-107.9697719,40.1380256
253,11,2,1,1,17,-106.4591899,40.8796847
90,12,0,417,0,0,-105.9079302,40.8716166
8,83,5,281,29,0,-104.6963429,40.3052417
0,52,0,325,0,0,-108.7012441,39.1643935
19,10,47,454,5,3,-107.1232134,39.6640362
1,26,0,507,4,8,-106.2206124,39.5442667
14,15,1,3,2,46,-102.4274519,39.3883077
13,116,0,1,5,0,-108.623622,38.7397289
3,1,3,0,11,1,-106.9174979,38.5920517
17,0,15,29,1,0,-106.5542061,38.5112521
3,13,1,47,0,0,-105.5746738,38.982811
53,102,2,21,0,7,-104.0715939,38.6945177
0,110,3,60,0,0,-103.9489359,38.1746667
75,33,48,12,0,0,-105.7459646,37.1810849
6,130,6,7,10,0,-103.5204699,37.2182707
0,8,14,373,67,164,-108.4645163,37.5166544
47,54,1,166,1,0,-105.5525819,37.2872957
7,0,1,30,23,0,-104.3100659,37.6256667
0,0,1,80,15,2,-108.5755774,39.0521056
0,15,0,22,6,0,-107.0036239,37.7792747
257,19,0,77,21,4,-108.6736679,40.6165527
3,2,0,41,5,0,-107.0331404,40.2101727
105,0,16,27,9,2,-106.4907839,40.1331937
4,10,11,292,271,1,-105.4722069,40.7597487
0,5,0,161,157,16,-104.5420149,40.8566157
0,28,2,378,141,66,-103.6580889,40.5807997
30,7,5,12,61,0,-108.4622799,39.5130367
6,3,66,1,1,0,-107.6169662,39.6468148
3,7,22,7,4,15,-106.8135989,39.3789927
0,3,0,0,18,1,-105.85,39.6666667
2,1,0,414,122,1,-103.7867237,39.373985
4,4,2,0,155,1,-102.5923459,39.5341427
75,111,0,108,0,0,-107.6025079,38.8387837
