SiteID,CovariatesID,Value
1,asage_1km,0.108
2,asage_1km,0
3,asage_1km,0.003
4,asage_1km,0.569
5,asage_1km,0.684
6,asage_1km,0.217
7,asage_1km,0.002
8,asage_1km,0.717
9,asage_1km,0.324
10,asage_1km,0.873
11,asage_1km,0.003
12,asage_1km,0.485
13,asage_1km,0.481
14,asage_1km,0.08
15,asage_1km,0.686
16,asage_1km,0.552
17,asage_1km,0.614
18,asage_1km,0
19,asage_1km,0.168
20,asage_1km,0.363
21,asage_1km,0.056
22,asage_1km,0.91
23,asage_1km,0.35
24,asage_1km,0.105
25,asage_1km,0.844
26,asage_1km,0.005
27,asage_1km,0.012
28,asage_1km,0.068
29,asage_1km,0.793
30,asage_1km,0.125
31,asage_1km,0.372
32,asage_1km,0.198
33,asage_1km,0.251
34,asage_1km,0.001
35,asage_1km,0.518
36,asage_1km,0.038
37,asage_1km,0
38,asage_1km,0.215
39,asage_1km,0.021
40,asage_1km,0.21
41,asage_1km,0.009
42,asage_1km,0.247
43,asage_1km,0.923
44,asage_1km,0.519
45,asage_1km,0.581
46,asage_1km,0
47,asage_1km,0.859
48,asage_1km,0.032
49,asage_1km,0.058
50,asage_1km,0.178
51,asage_1km,0.008
52,asage_1km,0.041
53,asage_1km,0.908
54,asage_1km,0.011
55,asage_1km,0.795
56,asage_1km,0.491
57,asage_1km,0.516
58,asage_1km,0.166
59,asage_1km,0.288
60,asage_1km,0.156
61,asage_1km,0.406
62,asage_1km,0.195
63,asage_1km,0.958
64,asage_1km,0.438
65,asage_1km,0.095
66,asage_1km,0.599
67,asage_1km,0.011
68,asage_1km,0.068
69,asage_1km,0.383
70,asage_1km,0.028
71,asage_1km,0.619
72,asage_1km,0.938
73,asage_1km,0.018
74,asage_1km,0.441
75,asage_1km,0.144
76,asage_1km,0.008
77,asage_1km,0
78,asage_1km,0.139
79,asage_1km,0.723
80,asage_1km,0
81,asage_1km,0.009
82,asage_1km,0.695
83,asage_1km,0.092
84,asage_1km,0.139
85,asage_1km,0.207
86,asage_1km,0.365
87,asage_1km,0.337
88,asage_1km,0.078
89,asage_1km,0.078
90,asage_1km,0.81
91,asage_1km,0.45
92,asage_1km,0.888
93,asage_1km,0.008
94,asage_1km,0.802
95,asage_1km,0.528
96,asage_1km,0.304
97,asage_1km,0.947
98,asage_1km,0.918
99,asage_1km,0.009
100,asage_1km,0
101,asage_1km,0.004
102,asage_1km,0.44
103,asage_1km,0.011
104,asage_1km,0.282
105,asage_1km,0.987
106,asage_1km,0.017
107,asage_1km,0.782
108,asage_1km,0.033
109,asage_1km,0.319
110,asage_1km,0.151
111,asage_1km,0
112,asage_1km,0.562
113,asage_1km,0.987
114,asage_1km,0.306
115,asage_1km,0.752
116,asage_1km,0.796
117,asage_1km,0.185
118,asage_1km,0.692
119,asage_1km,0.484
120,asage_1km,0.059
121,asage_1km,0.94
122,asage_1km,0.629
123,asage_1km,0
124,asage_1km,0.772
125,asage_1km,0.515
